emotion,num,valence,source,person,content,length_in_words,duration_in_secs,cause,keeper
Terrified,5,neg,generated,3rd,lost in woods,55,NaN,"One night, NAMEVAR!!!s rabbit ran away from her yard. NAMEVAR ran after it, knowing there were coyotes roaming the woods. NAMEVAR ran further and further in search of her pet and in the process got lost in the forest. It grew dark and cold and NAMEVAR had lost all sense of where her house was.",1
Terrified,6,neg,generated,3rd,bad anchor,54,NaN,"NAMEVAR was on a climbing trip, and they were half way up a cliff, secured to an anchor with harnesses. The wall was very steep, and the anchor was the only thing holding them up. NAMEVAR looked at the anchor to realize that the metal was severely rusted and could snap at any moment.",1
Terrified,7,neg,generated,3rd,protest violence,51,NaN,"A strong civil-rights advocate, NAMEVAR attended a protest against hiring inequalities in her local government. Quickly, the chanting and marching turned to shouting and shoving. Then NAMEVAR heard a loud crash followed by gunshot. She and a group of fellow protesters hid under some nearby bleachers as gunshots continued to sound.",1
Terrified,8,neg,generated,3rd,intruder,46,NaN,"There had been several recent break-ins in NAMEVAR!!!s neighborhood, and NAMEVAR was home alone while her parents were out of town. While watching TV, NAMEVAR thought she heard a sound from downstairs. Muting the television, she heard definitive footsteps heading up the stairs towards her room.",1
Terrified,9,neg,generated,3rd,bf knife,43,NaN,"NAMEVAR and her boyfriend often broke into serious fights. One day, her boyfriend was getting particularly aggressive and threatened to hurt NAMEVAR. When NAMEVAR tried to calm him down, her boyfriend pulled out a knife, swinging it around as he shouted at her.",1
Terrified,10,neg,generated,3rd,lost daughter,47,NaN,"NAMEVAR was visiting Buenos Aires with her 3-year-old daughter. As they wandered through a market, NAMEVAR got caught up haggling over the price of an item. She looked down to find her daughter missing. She walked around the market screaming her daughter!!!s name, but heard no answer.",1
Surprised,1,neutral,generated,3rd,friend home,56,NaN,"One day, NAMEVAR thought she was the only one around the house. She put on some music while she baked a cake for her friends, and wandered around the kitchen, singing along to her favorite song. Suddenly, NAMEVAR heard a second voice joining in and turned around to see that her roommate was in fact home.",1
Surprised,2,neutral,generated,3rd,surprise visit,53,NaN,"NAMEVAR!!!s sister lived several hours away. One weekend, NAMEVAR returned to her dorm room after a long week of work. A few minutes later she heard a knock on the door. She opened it to see her sister standing on the doorstep. She had driven across the state to visit for the weekend.",1
Surprised,3,neutral,generated,3rd,turnaround game,48,NaN,"NAMEVAR was watching a baseball game with her brother. When they left the stadium after the 5th inning, one of the teams was winning 21 to 3. NAMEVAR later heard on the news that the other team had recovered in the last few innings and won the game.",1
Surprised,4,neutral,generated,3rd,surprise party,50,NaN,"After defending her Ph.D., NAMEVAR headed home to spend the evening with her husband. As she walked down the hallway, she thought she heard voices in her apartment. She opened the door to find that her family, advisors and graduate student colleagues had all gathered at her home to celebrate.",1
Surprised,5,neutral,generated,3rd,snow,49,NaN,"NAMEVAR lived in Las Angeles, where it was usually warm all year long. One December, NAMEVAR was walking home from work in a t-shirt and shorts. She felt something cold and wet on her cheek. She looked up to see flurries of snowflakes falling to the ground around her.",1
Surprised,6,neutral,generated,3rd,friend Beijing,54,NaN,"NAMEVAR was on a business trip in Beijing and was walking around downtown during her lunch break. While waiting in line for the bathroom, she felt a tap on her shoulder. NAMEVAR turned to see a childhood friend from the USA. It turned out her friend had been living in Beijing for a year.",1
Surprised,7,neutral,generated,3rd,underdog win,50,NaN,"A big fan of film, NAMEVAR always watched the Oscar awards on TV. All the critics had predicted that Best Actor would go to a renowned star whose recent performance had been a blockbuster hit. Instead, the award was given to 17 year old actor for his debut hollywood performance.",1
Surprised,8,neutral,generated,3rd,boy barbies,52,NaN,"NAMEVAR was tidying up around the house and asked her daughter to put away the Barbie dolls that were on the floor. Her daughter said they weren!!!t hers but belonged to NAMEVAR!!!s 8 year old son, Tommy. Tommy agreed they were his new favorite toys, and put them away in his room.",1
Surprised,9,neutral,generated,3rd,hairdresser physicist,48,NaN,"NAMEVAR always had her hair cut by the same stylist in her city. One day, NAMEVAR asked her stylist if she had worked anywhere previously. Her stylist told NAMEVAR she used to be a physics professor at MIT, but gave up her career in science to do hairstyling.",1
Surprised,10,neutral,generated,3rd,book ending,52,NaN,"NAMEVAR was reading the second to last book in a series about a small town in Indiana. The book had a pleasant plot and each of the characters was unique and well developed. In the last chapter of the book, a tornado struck the town and all the main characters were killed.",1
Content,1,pos,generated,3rd,sunrise,50,NaN,"NAMEVAR had been overworked and knew she needed a break. She booked a weekend getaway at a B&B in her favorite seaside village. Each morning she would get up at dawn and walk along the beach, watching the sunrise over the ocean and feeling the cool breeze on her face.",1
Content,2,pos,generated,3rd,painting,49,NaN,"NAMEVAR enjoyed painting but rarely found the time in her busy college schedule. One summer, NAMEVAR decided to make time for painting again, and signed up for a class with her friend. Each week, she!!!d spend a full evening painting scenes of the parks and gardens around her home.",1
Content,3,pos,generated,3rd,Thanksgiving,54,NaN,"NAMEVAR was a great cook and often made food for friends as a way to wind down after a long day. She decided to host Thanksgiving for the first time. She bought a turkey and festive decorations, and started preparing pies two days beforehand. NAMEVAR watched as her guests enjoyed themselves and the food.",1
Content,4,pos,generated,3rd,bath,44,NaN,"After a long day at work, NAMEVAR was looking forward to a quiet evening alone in her studio apartment. She made a fire and a cup of tea and sat in her most comfortable chair, catching up on the news and her favorite blogs.",1
Content,5,pos,generated,3rd,pretty city,54,NaN,"One fall, NAMEVAR visited a city she!!!d never been to before. It was a crisp, fall afternoon, and NAMEVAR spent the day meandering around the neighborhoods. The quiet side streets were full of bookstores, coffee shops and galleries. NAMEVAR thought these would be great places to spend the day with a book or magazine.",1
Content,6,pos,generated,3rd,puzzles,43,NaN,"When NAMEVAR would visit her mother at the nursing home, it was change of pace from her usual hectic lifestyle. Each visit, NAMEVAR would bring along a new 1000 piece jigsaw puzzle and spend all day working on the puzzle with her mother.",1
Content,7,pos,generated,3rd,river run,51,NaN,"Every morning in the summer, NAMEVAR would get up early and go for a long run by the river. She would see the sun rising over the river as she started her run, and feel its warmth on her back as she finished and lay down in the grass to recover.",1
Content,8,pos,generated,3rd,comic books,51,NaN,"Working at a tough, fast-paced job during the week, NAMEVAR reserved her Sundays for personal time. She would sleep in late, brew a big pot of coffee, and spend the morning cuddled up with her kittens, reading her favorite comic books. On Monday, she returned to work ready for a challenge.",1
Content,9,pos,generated,3rd,animal shelter,46,NaN,"Because NAMEVAR!!!s apartment didn!!!t allow pets, NAMEVAR volunteered at a local animal shelter. Once a week, she would spend the afternoon taking the dogs out for walks. NAMEVAR would run around chasing them at the park and spend hours throwing a ball for them to fetch.",1
Content,10,pos,generated,3rd,tasty meal,49,NaN,"NAMEVAR loved Mexican food, but it was hard to find authentic restaurants in her area. While on a business trip in El Paso, NAMEVAR grabbed lunch from a restaurant that made perfect tamales. She returned to the restaurant for dinner, ordering an enormous meal with all her favorite dishes.",1
Excited,1,pos,generated,3rd,new book,46,NaN,"NAMEVAR loved the Hunger Games book series. Every time a new book came out, she would read it within 24 hours. The last installation had ended very unresolved, and NAMEVAR couldn!!!t imagine what would happen next. The final installation was going on sale in 3 days.",1
Excited,2,pos,generated,3rd,hiking trip,52,NaN,"Each year, NAMEVAR!!!s father took NAMEVAR!!!s older brothers on a hiking trip. NAMEVAR always wanted to go, but was too young. A few nights before the trip, NAMEVAR!!!s father came into her room and told her he!!!d decided she was ready. He gave her a backpack and told her to start packing.",1
Excited,3,pos,generated,3rd,Caribbean,51,NaN,"NAMEVAR had always loved looking at photographs of the beautiful Caribbean, but had never been able to visit herself. After getting a bonus at work, NAMEVAR decided to treat herself to a vacation. When planning for the trip, NAMEVAR perused travel websites filled with beautiful photographs of oceans and palm trees.",1
Excited,4,pos,generated,3rd,meeting star,57,NaN,"NAMEVAR was a huge baseball fan, and knew all about the players on her local major league team. At a charity event, NAMEVAR won a chance to meet her favorite player after an upcoming game. During all her years of obsessing over this player, she had never dreamed she!!!d have the chance to meet him in person.",1
Excited,5,pos,generated,3rd,prom,56,NaN,"NAMEVAR loved school dances, and particularly loved dressing up in fancy clothes. Prom was in two days, and NAMEAR was going with a guy she really liked. Her dress, already laid out on her dressing table, was a perfect fit, and NAMEVAR combed through magazines deciding on her favorite up-do style to show to her hairstylist.",1
Excited,6,pos,generated,3rd,elephant,57,NaN,"NAMEVAR!!!s favorite animal was the elephant. She had seen them in movies, but never in real life. On her family vacation in Thailand, NAMEVAR!!!s parents agreed to take her to an elephant park. The following morning, they would get up early and head to the park, where NAMEVAR would be able to pet and ride the elephants.",1
Excited,7,pos,generated,3rd,favorite band,45,NaN,"NAMEVAR!!!s favorite band gave brilliant live performances, but only went on tour once every couple of years. The band was performing in NAMEVAR!!!s area the following week, and NAMEVAR and her friends had bought front row tickets as well as backstage passes for the show.",1
Excited,8,pos,generated,3rd,roller-coaster,51,NaN,"NAMEVAR loved steep roller-coasters but hadn!!!t been able to go on the biggest one in the local amusement park because she didn!!!t meet the height limit. That summer, NAMEVAR was finally tall enough. She watched footage of other riders screaming and yelling as she waited in line for the famous ride.",1
Excited,9,pos,generated,3rd,superbowl,57,NaN,"Every year, NAMEVAR!!!s family gathered at her house to watch the Superbowl. NAMEVAR!!!s family didn!!!t even care who won, it was just an opportunity to spend time together. This year, NAMEVAR had decorated her whole house with NFL paraphernalia, and baked football shaped cookies. The game started at 1pm, and her family would be arriving any minute.",1
Excited,10,pos,generated,3rd,scuba-dive,50,NaN,"After 6 weeks of training to scuba-dive in her university!!!s pool, NAMEVAR was finally certified to dive. That weekend, NAMEVAR was headed to a famous reef a few hours away. She would see thousands of species of fish, and some of the most elaborate coral found anywhere in the world",1
Grateful,1,pos,generated,3rd,texting and driving,54,NaN,"NAMEVAR was texting while driving. She went through a red light and hit a boy on a bike. She jumped out of the car to see if the boy was okay. He had a couple scrapes, but somehow was otherwise okay. NAMEVAR put away her phone and vowed to never text while driving again.",1
Grateful,2,pos,generated,3rd,"altruistic doctor, CF",53,NaN,"NAMEVAR had Cystic Fibrosis and all of her treatments were failing. A new medication had just come out that would effectively target her condition, but NAMEVAR could not afford it. One day, NAMEVAR received a package in the mail with nothing but that necessary medication. The return address was that of her doctor.",1
Grateful,3,pos,generated,3rd,Holocaust liberation,47,NaN,"NAMEVAR had been in a concentration camp for three years. She was emaciated, starved and weak. One morning, NAMEVAR propped up her head to see American soldiers filing into the camp. She immediately received food and medical care and one week later was freed from the camp.",1
Grateful,4,pos,generated,3rd,financial struggles,45,NaN,"NAMEVAR was having financial difficulties after graduating from college. She worked over-time and lived very meagerly, but still had trouble making her loan payments. One day she received a letter from her grandfather saying that he wanted to help. A check for $8,000 was enclosed.",1
Grateful,5,pos,generated,3rd,tutoring help,55,NaN,"NAMEVAR was struggling with biochemistry. After their first exam, NAMEVAR!!!s lab partner asked if she wanted some help. Without asking for anything in return, he met with her several times a week for the rest of the semester, working through the material until she really understood it. NAMEVAR received an A on the final exam.",1
Grateful,6,pos,generated,3rd,stay shelter,53,NaN,"NAMEVAR was staying in a homeless shelter while looking for a job. Her 3 weeks of free housing were almost up, but NAMEVAR remained unemployed. The night before NAMEVAR was required to move out, the manager came by to tell NAMEVAR that she could stay an extra two weeks to get things settled.",1
Grateful,7,pos,generated,3rd,warm clothes,55,NaN,"NAMEVAR and her family had moved to Minnesota from Florida. NAMEVAR didn!!!t have enough money to pay their heating bill and her children froze as they walked to school in t-shirts and jeans. One afternoon, a man dropped off a big bag of blankets and winter clothes that had been donated by a nearby church.",1
Grateful,8,pos,generated,3rd,free bed,52,NaN,"When NAMEVAR!!!s apartment building burnt down in a fire, NAMEVAR thought she!!!d be stuck without a place to stay for weeks as she looked for a new apartment. But within hours, friends from all over the city had contacted NAMEVAR offering their couches and spare bedrooms for as long as she needed.",1
Grateful,9,pos,generated,3rd,watch children,54,NaN,"While NAMEVAR!!!s husband was out of town on business, NAMEVAR came down with a bad flu, leaving no one to watch their three young children during the day. A neighbor heard that NAMEVAR was sick and called up offering to take the kids for the week, giving NAMEVAR a chance to rest and recover.",1
Grateful,10,pos,generated,3rd,tutor son,56,NaN,"NAMEVAR!!!s son had a severe learning disability and received little support from the school. His teachers didn!!!t know what to do with him, and were often frustrated by him in the classroom. But that year, a teacher had taken a special interest in NAMEVAR!!!s son and spent several afternoons each week tutoring her son after school.",1
Hopeful,1,pos,generated,3rd,necklace,53,NaN,"NAMEVAR loved fancy jewelry and had her eye on a Tiffany!!!s necklace for some time. But she never bought it because she always decided it was too expensive. As NAMEVAR!!!s three year anniversary with her boyfriend approached, he hinted that she might have a new piece of jewelry to add to her collection.",1
Hopeful,2,pos,generated,3rd,interview/job,52,NaN,"NAMEVAR went into an interview at a prominent publishing firm. She met with the Chief Editor, who commented that her resume was a remarkably good fit for the position. At the end of the interview, the man shook NAMEVAR!!!s hand and told her that he would personally be in touch with her.",1
Hopeful,3,pos,generated,3rd,Harry Potter books,46,NaN,"NAMEVAR really wanted the Harry Potter books for Christmas. She wrote Santa Claus a letter telling him how good she had been, and baked cookies for him on Christmas Eve. In her mother!!!s room, she saw a pile of book shaped packages sitting in the floor.",1
Hopeful,4,pos,generated,3rd,transferring,50,NaN,"NAMEVAR had a bad experience at the first college she attended and decided to transfer to a college that better fit her interests. The first day of school was a bright, crisp fall day, and leaves crinkled under her feet as NAMEVAR stepped through the gate into her new home.",1
Hopeful,5,pos,generated,3rd,okcupid,48,NaN,"NAMEVAR had been on OKCupid for several months, but never hit it off with anyone. One day, she went for drinks with a man she found attractive and interesting. They stayed talking late into the night. When they eventually left the restaurant, the man asked for NAMEVAR!!!s number.",1
Hopeful,6,pos,generated,3rd,raise,45,NaN,"During their team meeting, NAMEVAR!!!s boss mentioned that their department had been allocated additional funds to give salary raises to high-performing employees. As she was leaving the meeting, NAMEVAR!!!s boss pulled her aside and told her to keep up the good work she!!!d been doing.",1
Hopeful,7,pos,generated,3rd,proposal,50,NaN,"NAMEVAR and her boyfriend had been dating for several years. NAMEVAR was very in love and felt ready to take steps towards getting married. One evening, NAMEVAR looked over her boyfriend!!!s shoulder and saw that he was perusing some jewelry websites. She looked closer and saw images of engagement rings.",1
Hopeful,8,pos,generated,3rd,recovery,48,NaN,"NAMEVAR!!!s father had been sick for months, and no treatment seemed to be helping. As a last resort, his doctor prescribed a new experimental medication. Although it would take weeks to determine whether the drug was truly effective, NAMEVAR!!!s father appeared to improve within the first few days.",1
Hopeful,9,pos,generated,3rd,tryouts,54,NaN,"NAMEVAR tried out for the varsity lacrosse team after getting cut as a sophomore. NAMEVAR performed well at the first day of tryouts, managing to score more goals than any other potential recruit. As she was leaving the field, the team captain came up to tell NAMEVAR that she had her eye on her.",1
Hopeful,10,pos,generated,3rd,forecast,51,NaN,"For her birthday, NAMEVAR was hosting a picnic at a park nearby. April was a rainy month in NAMEVAR!!!s region, so she checked the weather report every day to see the forecast for her birthday. For the 3 days leading up to the party, the forecast predicted sun and warm temperatures.",1
Impressed,1,pos,generated,3rd,chief surgeon,50,NaN,"One evening, NAMEVAR was introduced to her sister!!!s new boyfriend. Her boyfriend was only 35 years old and only a few years out of med school, but he was already the chief surgeon of Columbia!!!s ophthalmology team, and the lead organizer of a non-profit cataract surgery clinic in rural Guatemala.",1
Impressed,2,pos,generated,3rd,home decor,50,NaN,"NAMEVAR visited her friend!!!s new home for the first time. She was given a tour of the house, which was ornately decorated with antiques from all over the world. NAMEVAR couldn!!!t believe her friend had managed to put together such a beautiful home in only 4 weeks of living there.",1
Impressed,3,pos,generated,3rd,neuro lecture,53,NaN,"NAMEVAR was visiting a friend who was now a Ph.D. student in neuroscience. NAMEVAR decided to sit in on a talk her friend was giving. Her friend spoke passionately and articulately, and seemed to have expertise in every area of neuroscience and neurobiology. NAMEVAR hadn!!!t known what an expert her friend had become.",1
Impressed,4,pos,generated,3rd,gluten free,54,NaN,"NAMEVAR ran into a friend she had not seen in months. Her friend had often struggled with weight but was now looking exceptionally fit. When NAMEVAR asked what she was doing to look so good, her friend replied that she had gotten serious about biking and was doing 70 mile rides on the weekends.",1
Impressed,5,pos,generated,3rd,speedy hiring,54,NaN,"NAMEVAR, the head of a prestigious lab at MIT, interviewed a grad student looking to join her lab. NAMEVAR was very picky about her students, wanting only the best and brightest. After reviewing the student!!!s resume and grilling her for 20 minutes, NAMEVAR realized this student knew more than anyone else in her lab.",1
Impressed,6,pos,generated,3rd,programming wiz,55,NaN,"Each year, NAMEVAR taught computer science to high school students. Usually the students were slow to grasp the material, and few managed to write full computer scripts by the end of the week-long workshop. This year, a student with no prior training learned all the material NAMEVAR taught and built a fully functional web application.",1
Impressed,7,pos,generated,3rd,track star,54,NaN,"The track team NAMEVAR coached had been regional champions the previous year. At the pre-season tryout race, a freshman bolted out to the front of the pack. NAMEVAR was sure the overzealous youngster would tire out and fall behind, perhaps not even finish. Instead, he finished in first, ahead of the team!!!s top runners.",1
Impressed,8,pos,generated,3rd,intern presentation,53,NaN,"As CEO of a large company, NAMEVAR had quarterly meetings to assess progress. At her meeting with the marketing team, NAMEVAR heard a very convincing presentation from an employee whose new marketing strategy that had already increased revenue by 2%. After the meeting, NAMEVAR learned that the employee was only an undergraduate intern.",1
Impressed,9,pos,generated,3rd,k2,43,NaN,"One day, NAMEVAR was scrolling through Facebook when she saw a post from an old cross-country teammate. It was a photo of NAMEVAR!!!s friend at the peak of Mt. Everest. Evidently NAMEVAR!!!s teammate had trained for months and completed the climb without oxygen.",1
Impressed,10,pos,generated,3rd,startup,54,NaN,"NAMEVAR!!!s venture capital firm frequently met with promising startups, but NAMEVAR was usually hesitant to invest in companies if the employees were too young or inexperienced. One day, NAMEVAR met with two college sophomores pitching a new idea for a web app. Despite their limited experience, NAMEVAR could tell they would pull it off.",1
Joyful,1,pos,generated,3rd,dog cuteness,51,NaN,"NAMEVAR always wanted a puppy, but her parents said it was too much of a hassle. One summer afternoon, NAMEVAR!!!s parents returned from a supposed trip to the grocery store, and NAMEVAR heard barking from inside her garage. She opened the door to see her parents holding a golden retriever puppy.",1
Joyful,2,pos,generated,3rd,med school accept,57,NaN,"NAMEVAR had been accepted to many medical schools, but deep down only wanted to go to Harvard. Not only was it a great department, but it would allow her to remain in Cambridge where her boyfriend was enrolled in law school. One afternoon, she opened a letter from Harvard Medical School stating that she had been accepted.",1
Joyful,3,pos,generated,3rd,pregnant,47,NaN,NAMEVAR and her husband recently moved into a new apartment and decided they were ready to start a family. NAMEVAR woke up one morning feeling very queasy and nauseous. She decided to take a pregnancy test and quickly ran to the pharmacy. The test result was positive.,1
Joyful,4,pos,generated,3rd,proposal,50,NaN,"NAMEVAR and her boyfriend started as best friends, and had been dating for over 6 years. They were completely in love and NAMEVAR knew he was the one for her. One summer evening as they finished dinner at their favorite restaurant, NAMEVAR!!!s boyfriend got down on one knee and proposed.",1
Joyful,5,pos,generated,3rd,marriage,44,NaN,"NAMEVAR had worked for years as a civil rights advocate in New York and New Jersey. At 12:20 AM, immediately after the New Jersey bill to legalize gay marriage was enacted, NAMEVAR and her partner of 50 years got married in the state hall.",1
Joyful,6,pos,generated,3rd,new democracy,49,NaN,"NAMEVAR!!!s country had long been governed by an authoritarian regime, and her people had fought for democratic leadership for years. In February, her country held their first democratic election. Their oppressive dictator was replaced with a progressive leader who initiated immediate reform and brought her people out of poverty.",1
Joyful,7,pos,generated,3rd,class president,52,NaN,"NAMEVAR was in a tight race for class president. NAMEVAR was the most qualified, but her competitor was captain of the football team and had popularity on his side. On election day, a number of football players skipped school to see a new football movie, allowing NAMEVAR to win by 7 votes.",1
Joyful,8,pos,generated,3rd,family reunited,57,NaN,"When NAMEVAR was 16, she fled her home country in pursuit of a better life. She was able to build a life for herself and her brother in the USA, but had left her parents behind. Finally, NAMEVAR!!!s parents were able to get papers and join her in the United States, reuniting their family after 12 years.",1
Joyful,9,pos,generated,3rd,50 years,49,NaN,"NAMEVAR and her husband had been married for 50 years. On their anniversary day, they gathered with their 4 sons and their sons!!! children. They renewed their vows, looked through photo albums capturing their many years together as a couple, and danced the night away with their loved ones.",1
Joyful,10,pos,generated,3rd,new home,54,NaN,"After months of job hunting, NAMEVAR and her husband were finally able to move to San Diego and buy a house for their family. The first night in their new home, NAMEVAR cooked up her husband!!!s favorite dish and they ate dinner together on their new patio, as the kids played soccer in lawn.",1
Nostalgic,1,pos,generated,3rd,comedian,43,NaN,NAMEVAR and her friends went to see a comedian who had been a childhood acquaintance of theirs. The comedian was from NAMEVAR!!!s hometown and told jokes that reminded her of the humorous idiosyncrasies of the small community in which they had grown up.,1
Nostalgic,2,pos,generated,3rd,zoo,48,NaN,"NAMEVAR went to the zoo on her day off from work. She sat in front of the monkey exhibit for half an hour, watching the monkeys swing from branch to branch. It made her think of the times she spent playing on the jungle gym as a child.",1
Nostalgic,3,pos,generated,3rd,teen band,47,NaN,"NAMEVAR and her childhood friend bought tickets to a concert for a band they had obsessed over in middle school. They knew the words to every song because they had spent to many hours dressing up, dancing, and playing karaoke to this music when they were young.",1
Nostalgic,4,pos,generated,3rd,crew team,52,NaN,"NAMEVAR competed on the varsity crew team in college, and had spent many hours rowing on the Charles River. Every year, she returned to Cambridge for the Head of the Charles crew regatta. Watching the younger girls compete reminded her of the times she had spent on the river with her team.",1
Nostalgic,5,pos,generated,3rd,dinner reminiscing,49,NaN,"NAMEVAR went out to dinner with a couple of friends. The friends had been her main crew in college, but she had not seen them in years. They ordered rounds of drinks and sat around reminiscing about their college antics and adventures until the bar closed at 3 AM.",1
Nostalgic,6,pos,generated,3rd,college campus,46,NaN,"For her 10 year reunion, NAMEVAR returned to her college campus for the first time since graduation. She walked through the halls of her old dormitory, had lunch in her favorite dining hall, and sat in the library where she had spent endless late nights studying.",1
Nostalgic,7,pos,generated,3rd,nyc movie,45,NaN,"NAMEVAR grew up in New York City but had lived in suburban Texas for years. NAMEVAR would often watch movies set in NYC, reminding her of urban lifestyle she had left behind: the crowded streets, the bustling markets, and the parks full of diverse people.",1
Nostalgic,8,pos,generated,3rd,grandparents treehouse,46,NaN,"One summer, NAMEVAR visited her grandparents!!! house where she used to play as a child. In their yard, there was a treehouse that NAMEVAR!!!s grandfather had built for her 5th birthday. She climbed up inside and remembered how tall and intimidating the treehouse used to feel.",1
Nostalgic,9,pos,generated,3rd,old neighbor,43,NaN,"At the grocery store, NAMEVAR ran into an old neighbor who had long since moved away. They chatted for half an hour, telling stories and reminding each other of the mischief they had caused with their adventures around the neighborhood when they were children.",1
Nostalgic,10,pos,generated,3rd,baseball hotdog,48,NaN,"For her son!!!s 7th birthday, NAMEVAR took him to a Redsox game. They bought plastic horns to blow on, and munched on popcorn and hotdogs. NAMEVAR thought the hotdogs tasted just as good as they did when her father had taken her to Redsox games as a child.",1
Proud,1,pos,generated,3rd,mit party,46,NaN,"NAMEVAR recently enrolled at MIT with the goal of majoring in biomedical engineering. NAMEVAR!!!s family believed strongly in the value of education, and she was the first of her family to attend college. Friends and family from NAMEVAR!!!s home town threw a party celebrating the honor.",1
Proud,2,pos,generated,3rd,record label,46,NaN,"NAMEVAR always wanted to be part of the music industry, but didn!!!t have strong musical talent. After earning all As in her degree in music management, NAMEVAR started an independent record label. Within a year they were making substantial profits and had signed several successful artists.",1
Proud,3,pos,generated,3rd,ophthalmology,50,NaN,"In September, NAMEVAR joined a small ophthalmology practice, her first job out of medical school. She worked hard to develop relationships with her patients, and to recruit new clients to the practice. By May, NAMEVAR had doubled the company!!!s clientele and received an award for early career success in ophthalmology.",1
Proud,4,pos,generated,3rd,Carnegie Hall,44,NaN,"NAMEVAR had played the piano intensively since she was five years old. She attended The Juilliard School where she continued to practice feverishly. Towards the end of her senior year, NAMEVAR was asked to play Rhapsody in Blue, a personal favorite, at Carnegie Hall.",1
Proud,5,pos,generated,3rd,restaurant inspection,45,NaN,"NAMEVAR took over her father!!!s restaurant. On the verge of bankruptcy, the restaurant had fallen into disarray and was about to be shut down by the FDA. NAMEVAR worked hard to bring it back to life, and they received an A on the next inspection.",1
Proud,6,pos,generated,3rd,top journal,47,NaN,"When NAMVAR!!!s advisor suggested they submit her research to the top journal in the field, NAMEVAR was sure it would be rejected. However, the first round of reviews were very favorable. One afternoon, NAMEVAR opened her email to learn that the paper had been accepted for publication.",1
Proud,7,pos,generated,3rd,new record,54,NaN,"For the months before her marathon, NAMEVAR trained even harder than usual, running extra miles and adding weight sessions at the gym. She hoped to shave at least 10 minutes off her previous best of 3:14. On race day, she came in 23rd in her age group with a new personal record of 2:46.",1
Proud,8,pos,generated,3rd,chemistry award,54,NaN,"NAMEVAR, a newly hired professor at Stanford, sat with a group of colleagues and lab members at the keynote address of their yearly conference. Each year, the National Chemistry Society awards a prize to a rising star in the field. The president of the society stood to announce this year!!!s winner: it was NAMEVAR.",1
Proud,9,pos,generated,3rd,presidential advisor,43,NaN,"After studying economics in college, NAMEVAR worked hard as an economic analyst in Washington D.C., earning quick promotions within her company and respect amongst her colleagues. One evening, NAMEVAR received a call that she!!!d been nominated as an economic advisor for President Obama.",1
Proud,10,pos,generated,3rd,valedictorian,49,NaN,"NAMEVAR put many hours into her schoolwork, always taking the hardest classes and going the extra mile on her assignments. A few weeks before her high school graduation, NAMEVAR!!!s guidance counselor called her into his office to tell her that she had the highest GPA in her graduating class.",1
